#;NAME;FOLLOWERS;ER;COUNTRY;TOPIC OF INFLUENCE;POTENTIAL REACH
1;KAROL G @karolg;68.3M;5.59;Colombia;Entertainment and Music Humor Film, Music & Books Celebrities;20.5M
2;MALUMA @maluma;63.9M;1.27;Colombia;Entertainment and Music Music Singer;19.2M
3;James Rodriguez @jamesrodriguez10;51.9M;0.01;Colombia;Sports Soccer;15.6M
4;J Balvin @jbalvin;51.5M;0.52;Colombia;Art Singer Entertainment Music;15.5M
5;Sofia Vergara @sofiavergara;30.9M;0.71;Colombia;Entertainment and Music Actors Modeling Celebrities;9.3M
6;ANLLELA SAGRA @anllela_sagra;24.1M;2.17;Colombia;Fitness and Health Health & Fitness Food & Drink;7.2M
7;CARMEN VILLALOBOS @cvillaloboss;22.3M;1.42;Colombia;Acting and Drama Entertainment and Music Celebrity Actors;6.7M
8;Luisa Fernanda W @luisafernandaw;19.3M;0.31;Colombia;Beauty and Self Care Entertainment and Music family Business and Finance;5.8M
9;Falcao @falcao;17M;0.61;Colombia;Sports Soccer;5.1M
10;Juan Cuadrado @cuadrado;14.1M;0.82;Colombia;Sports;4.2M
11;Manuel Turizo - MTZ @manuelturizo;13.4M;1.12;Colombia;Entertainment and Music Actors Music;4M
12;FERXXO @feid;13.2M;5.48;Colombia;Entertainment and Music Actors Music Humor;4M
13;Francia James @francety;11.9M;1.15;Colombia;Art Arts and Crafts;3.6M
14;sujin kim @chinguamiga;11.4M;2.99;Colombia;Animation and Cosplay Marketing and Advertising;3.4M
15;Yef @yefersoncossio;11.1M;0.24;Colombia;Entertainment and Music;3.3M
16;Jessica Cediel @jessicacedielnet;10.4M;0.47;Colombia;Entertainment and Music Marketing and Advertising Actors Celebrities;3.1M
17;Lina Tejeiro @linatejeiro;10.3M;1.61;Colombia;Acting and Drama Actors Virtualization Journalists;3.1M
18;ANDREA VALDIRI @andreavaldir;9.4M;3.84;Colombia;family Education Actors Modeling;2.8M
19;Pipe Bueno @pipebueno;9.1M;0.55;Colombia;Entertainment and Music Actors Music;2.7M
20;LA SEGURA @la_segura;8.8M;1.69;Colombia;Marketing and Advertising Actors;2.6M
21;Carlos Vives @carlosvives;8M;0.14;Colombia;Entertainment and Music Actors;2.4M
22;Carolina Cruz Osorio @carolinacruzosorio;7.6M;0.17;Colombia;Beauty and Self Care family Product Showcase Actors;2.3M
23;Sara Uribe @sara_uribe;7.1M;0.31;Colombia;Beauty and Self Care family Actors Virtualization;2.1M
24;Johanna Fadul @johannafadul;6.7M;0.05;Colombia;Entertainment and Music Celebrity Actors Modeling;2M
25;SILVESTRE DANGOND @silvestredangond;6.6M;0.38;Colombia;Entertainment and Music Music Actors;2M
26;SOL LEON  @solleon21;6.5M;0.45;Colombia;Fashion and Accessories family Business and Finance Actors;2M
27;Paola Jara @paolajarapj;6.5M;0.34;Colombia;Entertainment and Music Actors;2M
28;JESSI URIBE @jessiuribe3;6.4M;0.31;Colombia;Entertainment and Music Music Actors Journalists;1.9M
29;Elianis Garrido @elianisgarrido;6.4M;0.32;Colombia;Entertainment and Music Actors;1.9M
30;Paulina Vega Dieppa @paulinavegadiep;6.3M;0.75;Colombia;Art Actors Virtualization;1.9M
31;Andrea Espada @andreaespadatv;6.1M;0.08;Colombia;Fashion and Accessories family Entertainment and Music Parenting;1.8M
32;Andy Rivera @andyrivera;6M;1.31;Colombia;Entertainment and Music Marketing and Advertising;1.8M
